B02,B03,B04,B08,class
949.9051513671875,823.34454345703125,666.97119140625,3824.471923828125,PALTO
977.52490234375,803.05438232421875,615.131103515625,2174.7744140625,NARANJO
905.97332763671875,732.2789306640625,550.62408447265625,2046.383544921875,PALTO
911.058837890625,724.87982177734375,512.40338134765625,1928.6944580078125,PALTO
907.087890625,789.16107177734375,620.9451904296875,3397.609375,PALTO
1108.866455078125,944.58306884765625,945.21832275390625,1495.496826171875,VID DE MESA
1006.2982788085938,811.66253662109375,680.96875,1392.255615234375,NARANJO
883.393798828125,694.74853515625,474.8851623535156,2975.46044921875,PALTO
1208.9344482421875,1044.0269775390625,1150.4110107421875,1600.5198974609375,NOGAL
839.32928466796875,620.04437255859375,390.71832275390625,2041.152587890625,PALTO
1142.3314208984375,1031.4031982421875,1046.6341552734375,2036.6947021484375,MANDARINO
911.2398681640625,769.33868408203125,484.0409851074219,2304.7685546875,MANDARINO
1139.3651123046875,1012.4286499023438,1057.67626953125,1792.4952392578125,MANDARINO
862.777587890625,752.0048828125,488.532958984375,5221.95703125,PALTO
1131.4765625,957.732666015625,1045.9947509765625,1312.4541015625,VID DE MESA
1076.766357421875,921.4564208984375,841.36456298828125,1339.216796875,NARANJO
850.7930908203125,710.31597900390625,443.05810546875,3695.73876953125,PALTO
1144.297607421875,986.9219970703125,1079.70654296875,1658.8502197265625,VID DE MESA
913.527587890625,662.92840576171875,514.7061767578125,1614.552978515625,PALTO
1042.9417724609375,842.61614990234375,851.04144287109375,1314.13818359375,DURAZNERO TIPO CONSERVERO
1108.70703125,923.11688232421875,911.28875732421875,1430.95458984375,PALTO
828.0250244140625,612.8453369140625,404.0427551269531,1769.627685546875,PALTO
1064.1395263671875,889.4569091796875,1039.615966796875,1569.5283203125,VID DE MESA
975.72467041015625,839.7935791015625,799.56964111328125,2487.33203125,PALTO
914.19927978515625,757.69476318359375,559.70196533203125,3642.447509765625,PALTO
906.044677734375,780.69598388671875,578.38153076171875,3825.153564453125,PALTO
1102.4547119140625,945.2392578125,1117.0732421875,1752.9173583984375,VID DE MESA
1080.0587158203125,891.12384033203125,994.60406494140625,1492.7598876953125,VID DE MESA
887.1182861328125,708.07958984375,545.06854248046875,2840.759521484375,PALTO
965.45574951171875,799.66131591796875,665.9974365234375,1649.3856201171875,PALTO
911.62188720703125,756.20086669921875,481.4359130859375,2112.040771484375,MANDARINO
960.46197509765625,805.55145263671875,659.416748046875,2772.173095703125,PALTO
868.1861572265625,718.062744140625,466.6734619140625,3334.9970703125,PALTO
902.60302734375,742.916748046875,587.8719482421875,2390.655517578125,PALTO
886.13134765625,730.91796875,528.27667236328125,4229.25,PALTO
830.28631591796875,649.451416015625,429.00347900390625,2804.58984375,PALTO
1018.7141723632812,843.77001953125,805.92083740234375,1527.468994140625,DURAZNERO TIPO CONSERVERO
1050.925537109375,888.458251953125,812.0025634765625,1525.3839111328125,MANDARINO
819.21142578125,586.984375,403.4159851074219,702.212890625,PALTO
1116.43212890625,1063.8111572265625,1078.533935546875,3209.4853515625,PALTO
1107.2015380859375,943.44708251953125,995.7445068359375,1591.32861328125,VID DE MESA
1128.7579345703125,949.94464111328125,1084.9217529296875,1574.8116455078125,VID DE MESA
911.6544189453125,820.8267822265625,479.6043395996094,3020.990966796875,MANDARINO
945.926513671875,767.79766845703125,602.81304931640625,2861.2822265625,PALTO
805.30096435546875,619.0206298828125,398.335693359375,2526.694580078125,PALTO
1052.8204345703125,851.84564208984375,937.81439208984375,1582.6103515625,VID DE MESA
1139.8756103515625,975.56878662109375,1081.25927734375,1704.105224609375,GRANADO
1076.1741943359375,911.27081298828125,1058.88720703125,1644.8160400390625,VID DE MESA
881.5560302734375,720.79217529296875,479.0923767089844,3484.971923828125,PALTO
1053.002685546875,985.91363525390625,930.4168701171875,3437.090087890625,PALTO
1097.721923828125,898.5858154296875,980.94091796875,1493.1824951171875,VID DE MESA
864.76025390625,689.3231201171875,467.8334655761719,2756.4287109375,PALTO
1063.7386474609375,952.02947998046875,903.28265380859375,3155.525634765625,PALTO
897.553466796875,738.40081787109375,527.94097900390625,3619.4150390625,PALTO
1124.5865478515625,1013.2251586914062,993.88983154296875,3200.246337890625,PALTO
