"GRANULE_ID","PRODUCT_ID","DATATAKE_IDENTIFIER","MGRS_TILE","SENSING_TIME","TOTAL_SIZE","CLOUD_COVER","GEOMETRIC_QUALITY_FLAG","GENERATION_TIME","NORTH_LAT","SOUTH_LAT","WEST_LON","EAST_LON","BASE_URL","tile","tile2","sens_date"
"L1C_T19HBD_A033441_20230801T145011","S2B_MSIL1C_20230801T143729_N0509_R096_T19HBD_20230801T180007","GS2B_20230801T143729_033441_N05.09","19HBD","2023-08-01T14:52:12.825000Z",756936499,3.18704649287826,"","2023-08-01T18:00:07.000000Z",-32.4967235507116,-33.5107602748432,-72.228898800549,-71.0253260436289,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2B_MSIL1C_20230801T143729_N0509_R096_T19HBD_20230801T180007.SAFE","19H","19",2023-08-01
"L1C_T19HBD_A032268_20210826T144822","S2A_MSIL1C_20210826T143731_N0301_R096_T19HBD_20210826T180333","GS2A_20210826T143731_032268_N03.01","19HBD","2021-08-26T14:52:09.645000Z",732297268,0.0158,"","2021-08-26T18:03:33.000000Z",-32.4967235507116,-33.5107602748432,-72.228898800549,-71.0253260436289,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2A_MSIL1C_20210826T143731_N0301_R096_T19HBD_20210826T180333.SAFE","19H","19",2021-08-26
"L1C_T19HBD_A011033_20190417T145615","S2B_MSIL1C_20190417T144739_N0207_R139_T19HBD_20190417T180757","GS2B_20190417T144739_011033_N02.07","19HBD","2019-04-17T15:02:08.000000Z",143085519,0,"","2019-04-17T18:07:57.000000Z",-32.4967235507116,-33.4889439309334,-72.228898800549,-71.8377864681826,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2B_MSIL1C_20190417T144739_N0207_R139_T19HBD_20190417T180757.SAFE","19H","19",2019-04-17
"L1C_T19HDD_A033698_20211204T144642","S2A_MSIL1C_20211204T143731_N0301_R096_T19HDD_20211204T180703","GS2A_20211204T143731_033698_N03.01","19HDD","2021-12-04T14:52:00.520000Z",486069026,1.0956,"","2021-12-04T18:07:03.000000Z",-32.5327530693199,-33.5262952585435,-70.0773934106369,-69.320444360587,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20211204T143731_N0301_R096_T19HDD_20211204T180703.SAFE","19H","19",2021-12-04
"L1C_T19HCD_A026834_20200811T144004","S2A_MSIL1C_20200811T143731_N0209_R096_T19HCD_20200811T180801","GS2A_20200811T143731_026834_N02.09","19HCD","2020-08-11T14:52:10.544000Z",913485734,30.7836,"","2020-08-11T18:08:01.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2A_MSIL1C_20200811T143731_N0209_R096_T19HCD_20200811T180801.SAFE","19H","19",2020-08-11
"L1C_T19HBD_A044137_20231204T144641","S2A_MSIL1C_20231204T143741_N0509_R096_T19HBD_20231204T175935","GS2A_20231204T143741_044137_N05.09","19HBD","2023-12-04T14:52:00.839000Z",849093491,28.649646152468,"","2023-12-04T17:59:35.000000Z",-32.4967235507116,-33.5107602748432,-72.228898800549,-71.0253260436289,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2A_MSIL1C_20231204T143741_N0509_R096_T19HBD_20231204T175935.SAFE","19H","19",2023-12-04
"L1C_T19HDD_A031968_20230420T143528","S2B_MSIL1C_20230420T142719_N0509_R053_T19HDD_20230420T174844","GS2B_20230420T142719_031968_N05.09","19HDD","2023-04-20T14:42:07.231000Z",858281173,0,"","2023-04-20T17:48:44.000000Z",-32.5328177462687,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20230420T142719_N0509_R053_T19HDD_20230420T174844.SAFE","19H","19",2023-04-20
"S2A_OPER_MSI_L1C_TL_EPA__20161011T212924_A001094_T19HDD_N02.04","S2A_OPER_PRD_MSIL1C_PDMC_20161012T014647_R096_V20150907T144816_20150907T144819","GS2A_20150907T144816_001094_N02.04","19HDD","",NA,NA,"PASSED","2016-10-12T01:46:47.000064Z",NA,NA,NA,NA,"","19H","19",NA
"L1C_T19HCD_A018683_20190119T144606","S2A_MSIL1C_20190119T143751_N0207_R096_T19HCD_20190119T180257","GS2A_20190119T143751_018683_N02.07","19HCD","2019-01-19T14:52:00.920000Z",861686851,25.3204,"","2019-01-19T18:02:57.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2A_MSIL1C_20190119T143751_N0207_R096_T19HCD_20190119T180257.SAFE","19H","19",2019-01-19
"L1C_T19HDD_A006628_20160928T144152","S2A_MSIL1C_20160928T142752_N0204_R053_T19HDD_20160928T144152","GS2A_20160928T142752_006628_N02.04","19HDD","2016-09-28T14:41:52.680000Z",717893682,38.0921,"PASSED","2016-09-28T14:41:52.000000Z",-32.6910421144497,-33.5276525567481,-70.0773945009131,-68.8949982842036,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20160928T142752_N0204_R053_T19HDD_20160928T144152.SAFE","19H","19",2016-09-28
"L1C_T19HDD_A029122_20210118T144622","S2A_MSIL1C_20210118T143731_N0209_R096_T19HDD_20210118T181117","GS2A_20210118T143731_029122_N02.09","19HDD","2021-01-18T14:52:02.019000Z",468088357,19.7643,"","2021-01-18T18:11:17.000000Z",-32.5327530693199,-33.5262260980942,-70.0773934106369,-69.3342879940605,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20210118T143731_N0209_R096_T19HDD_20210118T181117.SAFE","19H","19",2021-01-18
"L1C_T19HCE_A027292_20220528T143904","S2B_MSIL1C_20220528T143729_N0400_R096_T19HCE_20220528T174638","GS2B_20220528T143729_027292_N04.00","19HCE","2022-05-28T14:51:47.524000Z",471176471,85.0936552083384,"","2022-05-28T17:46:38.000000Z",-31.6175047821066,-32.4215682396481,-71.121406815817,-69.9512491975531,"gs://gcp-public-data-sentinel-2/tiles/19/H/CE/S2B_MSIL1C_20220528T143729_N0400_R096_T19HCE_20220528T174638.SAFE","19H","19",2022-05-28
"L1C_T19HCD_A027435_20220607T145150","S2B_MSIL1C_20220607T143729_N0400_R096_T19HCD_20220607T180149","GS2B_20220607T143729_027435_N04.00","19HCD","2022-06-07T14:52:05.996000Z",865375157,15.8222102780017,"","2022-06-07T18:01:49.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2B_MSIL1C_20220607T143729_N0400_R096_T19HCD_20220607T180149.SAFE","19H","19",2022-06-07
